These are 16 different routes.
+--------+-------------+-----------------+---------------+---------------------+--------+-------------+-------------------+---------------+
| A Type | A AD/Metric | A Interface     | A NextHop     | R1.log Route R2.log | B Type | B AD/Metric | B Interface       | B NextHop     |
+--------+-------------+-----------------+---------------+---------------------+--------+-------------+-------------------+---------------+
|        |             |                 |               | 13.1.1.0/24         | C      |             | Serial0/0         |               |
| ------ | ------      | ------          | ------        | ------              | ------ | ------      | ------            | ------        |
| R      | 120/1       | FastEthernet1/1 | 192.168.2.66  | 192.168.1.0/24      |        |             |                   |               |
| ------ | ------      | ------          | ------        | ------              | ------ | ------      | ------            | ------        |
| C      |             | Serial0/0       |               | 192.168.1.152/30    |        |             |                   |               |
| ------ | ------      | ------          | ------        | ------              | ------ | ------      | ------            | ------        |
| R      | 120/1       | Serial0/0       | 192.168.1.153 | 192.168.1.176/28    |        |             |                   |               |
| ------ | ------      | ------          | ------        | ------              | ------ | ------      | ------            | ------        |
| R      | 120/2       | FastEthernet1/1 | 192.168.2.66  | 192.168.2.0/24      |        |             |                   |               |
| ------ | ------      | ------          | ------        | ------              | ------ | ------      | ------            | ------        |
| R      | 120/1       | FastEthernet1/1 | 192.168.2.67  | 192.168.2.128/28    |        |             |                   |               |
| ------ | ------      | ------          | ------        | ------              | ------ | ------      | ------            | ------        |
| C      |             | FastEthernet1/1 |               | 192.168.2.64/28     |        |             |                   |               |
| ------ | ------      | ------          | ------        | ------              | ------ | ------      | ------            | ------        |
| R      | 120/1       | FastEthernet1/1 | 192.168.2.67  | 192.168.2.96/28     |        |             |                   |               |
| ------ | ------      | ------          | ------        | ------              | ------ | ------      | ------            | ------        |
| R      | 120/2       | Serial0/0       | 192.168.2.153 | 192.168.3.0/24      | R      | 120/2       | Serial0/1         | 192.168.2.129 |
| R      | 120/2       | Serial0/1       | 192.168.1.129 |                     |        |             |                   |               |
| ------ | ------      | ------          | ------        | ------              | ------ | ------      | ------            | ------        |
| C      |             | FastEthernet1/0 |               | 192.168.3.64/27     |        |             |                   |               |
| ------ | ------      | ------          | ------        | ------              | ------ | ------      | ------            | ------        |
| C      |             | FastEthernet1/0 |               | 192.168.3.96/27     |        |             |                   |               |
| ------ | ------      | ------          | ------        | ------              | ------ | ------      | ------            | ------        |
| O      | 110/2       | FastEthernet1/1 | 12.1.1.2      | 2.2.2.2/32          | O      | 110/2       | FastEthernet1/0   | 12.1.1.2      |
| ------ | ------      | ------          | ------        | ------              | ------ | ------      | ------            | ------        |
| O      | 110/2       | Null0           | 12.1.1.2      | 24.1.1.0/24         | O      | 110/2       | Vlan1             | 12.1.1.2      |
| ------ | ------      | ------          | ------        | ------              | ------ | ------      | ------            | ------        |
| O      | 110/65      | Serial0/0       | 13.1.1.2      | 3.3.3.3/32          | O      | 110/65      | Serial0/0         | 13.1.1.2      |
|        |             |                 |               |                     | O      | 110/65      | Serial0/1         | 13.1.1.3      |
| ------ | ------      | ------          | ------        | ------              | ------ | ------      | ------            | ------        |
| O      | 110/66      | FastEthernet1/0 | 12.1.1.2      | 34.1.1.0/24         | R      | 110/66      | FastEthernet1/0   | 12.1.1.2      |
| ------ | ------      | ------          | ------        | ------              | ------ | ------      | ------            | ------        |
| O      | 110/3       | FastEthernet1/0 | 12.1.1.2      | 4.4.4.4/32          | O      | 110/3       | FastEthernet1/0.1 | 12.1.1.2      |
| ------ | ------      | ------          | ------        | ------              | ------ | ------      | ------            | ------        |
+--------+-------------+-----------------+---------------+---------------------+--------+-------------+-------------------+---------------+
