+------------------+--------+------+-----------+-------------------+---------------+
| Route            | Table  | Type | AD/Metric | Interface         | NextHop       |
+------------------+--------+------+-----------+-------------------+---------------+
| 13.1.1.0/24      | R1.log |      |           |                   |               |
|                  | R2.log | C    |           | Serial0/0         |               |
| -                | -      | -    | -         | -                 | -             |
| 192.168.1.0/24   | R1.log | R    | [120/1]   | FastEthernet1/1   | 192.168.2.66  |
|                  | R2.log |      |           |                   |               |
| -                | -      | -    | -         | -                 | -             |
| 192.168.1.152/30 | R1.log | C    |           | Serial0/0         |               |
|                  | R2.log |      |           |                   |               |
| -                | -      | -    | -         | -                 | -             |
| 192.168.1.176/28 | R1.log | R    | [120/1]   | Serial0/0         | 192.168.1.153 |
|                  | R2.log |      |           |                   |               |
| -                | -      | -    | -         | -                 | -             |
| 192.168.2.0/24   | R1.log | R    | [120/2]   | FastEthernet1/1   | 192.168.2.66  |
|                  | R2.log |      |           |                   |               |
| -                | -      | -    | -         | -                 | -             |
| 192.168.2.128/28 | R1.log | R    | [120/1]   | FastEthernet1/1   | 192.168.2.67  |
|                  | R2.log |      |           |                   |               |
| -                | -      | -    | -         | -                 | -             |
| 192.168.2.64/28  | R1.log | C    |           | FastEthernet1/1   |               |
|                  | R2.log |      |           |                   |               |
| -                | -      | -    | -         | -                 | -             |
| 192.168.2.96/28  | R1.log | R    | [120/1]   | FastEthernet1/1   | 192.168.2.67  |
|                  | R2.log |      |           |                   |               |
| -                | -      | -    | -         | -                 | -             |
| 192.168.3.0/24   | R1.log | R    | [120/2]   | Serial0/0         | 192.168.2.153 |
|                  |        | R    | [120/2]   | Serial0/1         | 192.168.1.129 |
|                  | R2.log | R    | [120/2]   | Serial0/1         | 192.168.2.129 |
| -                | -      | -    | -         | -                 | -             |
| 192.168.3.64/27  | R1.log | C    |           | FastEthernet1/0   |               |
|                  | R2.log |      |           |                   |               |
| -                | -      | -    | -         | -                 | -             |
| 192.168.3.96/27  | R1.log | C    |           | FastEthernet1/0   |               |
|                  | R2.log |      |           |                   |               |
| -                | -      | -    | -         | -                 | -             |
| 2.2.2.2/32       | R1.log | O    | [110/2]   | FastEthernet1/1   | 12.1.1.2      |
|                  | R2.log | O    | [110/2]   | FastEthernet1/0   | 12.1.1.2      |
| -                | -      | -    | -         | -                 | -             |
| 24.1.1.0/24      | R1.log | O    | [110/2]   | Null0             | 12.1.1.2      |
|                  | R2.log | O    | [110/2]   | Vlan1             | 12.1.1.2      |
| -                | -      | -    | -         | -                 | -             |
| 34.1.1.0/24      | R1.log | O    | [110/66]  | FastEthernet1/0   | 12.1.1.2      |
|                  | R2.log | R    | [110/66]  | FastEthernet1/0   | 12.1.1.2      |
| -                | -      | -    | -         | -                 | -             |
| 4.4.4.4/32       | R1.log | O    | [110/3]   | FastEthernet1/0   | 12.1.1.2      |
|                  | R2.log | O    | [110/3]   | FastEthernet1/0.1 | 12.1.1.2      |
| -                | -      | -    | -         | -                 | -             |
+------------------+--------+------+-----------+-------------------+---------------+
These are 15 different routes.
